originalName,commonName
cfalvo@usaid.gov,Christine Falvo
"Falvo, Christine",Christine Falvo
"Butzgy, Christopher H",Christopher Butzgy
"Edwards, Christopher",Christopher Edwards
"EAP/J:Green, Christopher",Christopher Green
"Hill, Christopher R (Baghdad)",Christopher Hill
hillcr@state.gov,Christopher Hill
"Hickey, Cindy",Cindy Hickey
"Coleman, CLaire L",Claire Coleman
ColemanCL@state.gov,Claire Coleman
"Colman, Claire L",Claire Coleman
Colin Powell,Colin Powell
Congress,Congress
Council on Foreign Relations,Council on Foreign Relations
Counselor,Counselor
"Beale, Courtney A Karamer",Courtney Beale
"Beale, Courtney A Kramer",Courtney Beale
bealeca@state.gov,Courtney Beale
"Kelly, Craig A",Craig Kelly
CSIS,CSIS
Daily Sun,Daily Sun
"SSRAP:Feldman, Dan",Dan Feldman
schwerind@state.gov,Dan Schwerin
"Hyde, Dana",Dana Hyde
Daniel,Daniel
"Baer, Daniel",Daniel Baer
"Baer, Daniel B",Daniel Baer
"Baer, Daniel D",Daniel Baer
baer.daniel,Daniel Baer
daniel.baer,Daniel Baer
"Feldman, Daniel F",Daniel Feldman
FeldmanDF@state.gov,Daniel Feldman
"Fried, Daniel",Daniel Fried
friedd@state.gov,Daniel Fried
"Inonye, Daniel",Daniel Inonye
"Poneman, Daniel",Daniel Poneman
Ross Dennis B,Daniel Ross
"Schwerin, Daniel B",Daniel Schwerin
SchwerinDB@state.gov,Daniel Schwerin
"Shapiro, Daniel B",Daniel Shapiro
ShapiroDB@state.gov,Daniel Shapiro
"Smith, Daniel B",Daniel Smith
DanielJJ@state.gov,DanielJJ@state.gov
"Brian, Danielle",Danielle Brian
"Adams, David S",David Adams
AdamsDS@state.gov,David Adams
"Aguilar, David V",David Aguilar
"Aguilar, David V.",David Aguilar
Axelrod_D,David Axelrod
"Axelrod, David M",David Axelrod
"Barron, David",David Barron
"Brock, David",David Brock
David_Garten@lautenberg.senate.gov,David Garten
"Garten, David (Lautenberg)",David Garten
"Hale, David M",David Hale
HaleDM2@state.gov,David Hale
"INL:Johnson, David T",David Johnson
d.gunners2010,David Miliband
davidmilibandpersonal,David Miliband
Secretary of State for Foreign and Commonwealth Affairs,David Miliband
"Graze, Deborah E",Deborah Graze
"McDonough, Denis R",Denis McDonough
Dennis_B._Ross,Dennis Ross
Dross,Dennis Ross
"Ross, Dennis",Dennis Ross
"Ross, Dennis B",Dennis Ross
"Ross, Dennis B.",Dennis Ross
Department of State,Department of State
"Chollet, Derek H",Derek Chollet
cholletdh@state.gov,Derek Chollet
"Mitchell, Derek",Derek Mitchell
"Diane, Reynolds",Diane Reynolds
"Reynolds, Diane",Diane Reynolds
"Director of Communication, ISAF and USFOR-A","Director of Communication, ISAF and USFOR-A"
"EUR/RPM:Vovchuk, Dmitry",Dmitry Vovchuk
DOJ,DOJ
donald,Donald
"Band, Doug",Doug Band
dhattaway,Doug Hattaway
doug,Doug Hattaway
"Hattaway, Doug",Doug Hattaway
"Letter, Douglas",Douglas Letter
DSA,DSA
"Pelton, E",E. Pelton
"Shin, Ed",Ed Shin
"Dibble, Elizabeth L",Elizabeth Dibble
DibbleEL@state.gov,Elizabeth Dibble
"Politico - Drew, Elizabeth",Elizabeth Drew
Elle Magazine,Elle Magazine
"Tauscher, Ellen O",Ellen Tauscher
tauschereo@state.gov,Ellen Tauscher
Embassy of Argentine Republic,Embassy of the Argentine Republic
Embassy of the Argentine Republic,Embassy of the Argentine Republic
"Faleomavaega, Eni F",Eni Faleomavaega
"Goosby, Eric",Eric Goosby
"Schwartz, Eric P",Eric Schwartz
SchwartzEP@state.gov,Eric Schwartz
"Woodard, Eric W",Eric Woodard
WoodardEW@state.gov,Eric Woodard
woodardEW2@state.gov,Eric Woodard
"Brimmer, Esther D",Esther Brimmer
brimmere@state.gov,Esther Brimmer
EEAS,European External Action Service
"Kamali, Farideh",Farideh Kamali
"Levin, Fay Hartog",Fay Hartog Levin
FICC,FICC
FINCA International,FINCA International
Foreign Affairs Magazine,Foreign Affairs Magazine
"Ricciardone, Francis J",Francis Ricciardone
"CA/VO:Sheaffer, G",G Sheaffer
"PRM/MCE:Wills, G",G Wills
"Lou de Bac, G/TIP",G. Lou de Bac
"PRM/MCE:Wills,G",G. Wills
"Gensler, Gary",Gary Gensler
"Cretz, Gene A",Gene Cretz
gbsperling,Gene Sperling
Gene_b_sperling,Gene Sperling
Gentlemen,Gentlemen
"Keating, Geoffrey T",Geoffrey Keating
george,george
"Mitchell, George",George Mitchell
mitchellg@state.gov,George Mitchell
"Seib, Gerald F",Gerald Seib
"Rose, Gideon",Gideon Rose
"Glantz, Gina",Gina Glantz
glantz.,Gina Glantz
GOMX,GOMX
GOPK,GOPK
"Gray, Gordon",Gorden Gray
Govenman Etazini,Govenman Etazini
Graca Machel Trust,Graca Machel Trust
"Slayton, Gregory W",Gregory Slayton
Kussa,Haim Saban
Haiti,Haiti
Haiti DLC Distro,Haiti DLC Distro
"Duk-soo, Han",Han Duk-soo
haroldnaughton,Hank Naughton
"Koh, Harold Hongju",Harold Hongju Koh
KohHH@state.gov,Harold Hongju Koh
"Legal Adviser:Koh, Harold Hongju",Harold Hongju Koh
Harold.Koplewicz,Harold Koplewicz
Harry.B.Harris,Harry Harris
"Reid, Harry",Harry Reid
"Samuelson, Heather",Heather Samuelson
"Samuelson, Heather F",Heather Samuelson
Heintz,Heintz
"Kissinger, Henry",Henry Kissinger
"Kissinger, Henry A",Henry Kissinger
Hill,Hill
;H,Hillary Clinton
Clinton,Hillary Clinton
Clinton Hillary R,Hillary Clinton
"Clinton Rodham, Hillary",Hillary Clinton
"Clinton, Hillary",Hillary Clinton
"Clinton, Hillary R",Hillary Clinton
"Clinton, Hillary Rodham",Hillary Clinton
H,Hillary Clinton
H2,Hillary Clinton
Haillary,Hillary Clinton
Hillary,Hillary Clinton
Hillary Rodham Clinton,Hillary Clinton
hr15@mycingular.blackberry.net,Hillary Clinton
HRC,Hillary Clinton
hrod17@clintonemail.com,Hillary Clinton
Madam Secretary,Hillary Clinton
Secretary,Hillary Clinton
Secretary Clinton,Hillary Clinton
Secretary Hillary R Clinton,Hillary Clinton
Secretary of State,Hillary Clinton
"H; Mills, Cheryl D",Hillary Clinton; Cheryl Mills
H;preines,Hillary Clinton; Philippe Reines
preines; H,Hillary Clinton; Philippe Reines
"Gutman, Howard",Howard Gutman
"Stringer, Howard",Howard Stringer
"Abedin, Huma",Huma Abedin
"Abedin, Huma>",Huma Abedin
abedin@state.gov,Huma Abedin
abedinh@state;gov,Huma Abedin
AbedinH@state.gov,Huma Abedin
abedomj@state.gov,Huma Abedin
"Abein, Huma",Huma Abedin
"Abendin, Huma",Huma Abedin
abendinh@state.gov,Huma Abedin
"Adedin, Huma",Huma Abedin
adedinh@state.gov,Huma Abedin
HAbedin,Huma Abedin
Huma Abedin,Huma Abedin
"Huma, Abedin",Huma Abedin
Huma@clintonemail.com,Huma Abedin
Humamabedin,Huma Abedin
"Abedin, Huma; H",Huma Abedin; Hillary Clinton
"Kelly, Ian",Ian Kelly
Ros-Lehtinen,Ileana Ros-Lehtinen
International Criminal Court,International Criminal Court
IRS,IRS
"Cintron, Izumi O",Izumi Cintron
"DS/PA:Finkle, J",J. Finkle
"Stavridis, J",J. Stavridis
jkeane,Jack Keane
"Keane, Jack",Jack Keane
newmyer,Jackie Newmyer
"Newmyer, Jackie",Jackie Newmyer
Jacob_J_Lew,Jacob Lew
jacobjlew,Jacob Lew
Lew,Jacob Lew
"Lew, Jack",Jacob Lew
"Lew, Jacob",Jacob Lew
"Lew, Jacob J",Jacob Lew
LewJJ@state.gov,Jacob Lew
Jake,Jake
Jake Sullivan,Jake Sullivan
jake. sullivan,Jake Sullivan
Jake.Sullivan,Jake Sullivan
jake.sullivan@,Jake Sullivan
"S/P:Sullivan, Jake",Jake Sullivan
"Sulilvan, Jacob J",Jake Sullivan
sullilvanjj@state.gov,Jake Sullivan
Sullivan Jacob J,Jake Sullivan
Sullivan JJ@state.gov,Jake Sullivan
"Sullivan, Jacbo J",Jake Sullivan
"Sullivan, Jack",Jake Sullivan
"Sullivan, Jacob",Jake Sullivan
"Sullivan, Jacob H",Jake Sullivan
"Sullivan, Jacob J",Jake Sullivan
"Sullivan, Jacob  J",Jake Sullivan
"Sullivan, Jacob J <SullivanJJ@state.gov>",Jake Sullivan
"Sullivan, Jake",Jake Sullivan
"Sullivan, Jake J",Jake Sullivan
"Sullivan, Jake; H",Jake Sullivan
Sullivan. Jacob J,Jake Sullivan
sullivanjj,Jake Sullivan
SullivanJJ@state.gov,Jake Sullivan
sullivanjj@state/gov,Jake Sullivan
sulllivanjj@state.gov,Jake Sullivan
JAMA,JAMA
"Jeffrey, James F",James Jeffrey
"McGovern, James P",James McGovern
jamesprubin,James Rubin
jamierubin,James Rubin
"Rubin, James",James Rubin
"Rubin, James P",James Rubin
"Rubin, James P.",James Rubin
"Smith, James E",James Smith
"Steinberg, James",James Steinberg
"Steinberg, James B",James Steinberg
SteinbergJB@state.gov,James Steinberg
SteinbertJB@state.gov,James Steinberg
Jamie,Jamie
"Radice, Jamie",Jamie Radice
jpiercy,Jan Piercy
"Napolitano, Janet",Janet Napolitano
"Jacobs, Janice L",Janice Jacobs
"H/RGF:Epping, Jay",Jay Epping
"Borns, Jeff",Jeff Borns
"Farrow, Jeffrey",Jeffrey Farrow
"Farrow, Jeffrey F",Jeffrey Farrow
"Farrow, Jeffrey L",Jeffrey Farrow
jfarrow,Jeffrey Farrow
"Feltman, Jeffrey D",Jeffrey Feltman
FeltmanJD@state.gov,Jeffrey Feltman
"Davis, Jennifer L",Jennifer Davis
DavisJL4@state.gov,Jennifer Davis
"Golden, Jennifer R",Jennifer Golden
"Robinson, Jennifer",Jennifer Robinson
"Iscol, Jill",Jill Iscol
jilliscol,Jill Iscol
"Hoagland, Jim",Jim Hoagland
"Kennedy, Jim",Jim Kennedy
JLCOS,JLCOS
"Laszczych, Joanne",Joanne Laszczych
LaszczychJ@state.gov,Joanne Laszczych
jhuber2606,Joe Huber
joe,Joe Wilson
joseph.wilson,Joe Wilson
"Wilson, Joe",Joe Wilson
"Wilson, Joseph",Joe Wilson
"BASTIEN, JOELLE-ELIZABETH",Joelle-Elizabeth Bastien
John Kerry,John Kerry
"Kerry, John",John Kerry
kerryjf,John Kerry
senjohnkerry,John Kerry
"Martilla, John",John Martilla
"Olver, John",John Olver
jpodesta,John Podesta
"Podesta, John",John Podesta
"Pakistan Desk:Spykerman, John",John Spykerman
"Carson, Johnnie",Johnnie Carson
Carsonj@state.gov,Johnnie Carson
"Toribiong, Johnson",Johnson Toribiong
"Davidson, Jon",Jon Davidson
jonrdavidson,Jon Davidson
"Kyl, Jon",Jon Kyl
Jonathan Prince,Jonathan Prince
"Soros, Jonathan",Jonathan Soros
"EB:Fernandez, Jose W",Jose Fernandez
JVillarreal,Jose Villarreal
"Kruzich, Joseph",Joseph Kruzich
"Macmanus, Joseph E",Joseph Macmanus
MacmanusJE2@state.gov,Joseph Macmanus
"Sheeran, Josette",Josette Sheeran
"H:Blumenfeld, Josh",Josh Blumenfeld
"Daniel, Joshua J",Joshua Daniel
Judith,Judith
"Kieffer, Judith",Judith Kieffer
judithmchale,Judith McHale
mchaelja@state.gov,Judith McHale
"McHald, Judith A",Judith McHale
McHale Judith A,Judith McHale
"McHale, Judith",Judith McHale
"McHale, Judith  A",Judith McHale
"McHale, Judith A",Judith McHale
McHaleJA@state.gov,Judith McHale
"Lantz, Judson",Judson Lantz
jillichtman,Judy Lichtman
"Short, Julie A",Julie Short
"Cooper, Justin",Justin Cooper
"Sincavage, Justine",Justine Sincavage
Kabul LGF Request,Kabul LGF Request
"DRL:Stewart, Karen B",Karen Stewart
"Eikenberry, Karl W",Karl Eikenberry
kktowns,Kathleen Townsend
"Marton, Kati",Kati Marton
"Brownell, Kelly D",Kelly Brownell
KellyC@state.gov,KellyC@state.gov
"MacAskill, Kenny",Kenny MacAskill
"Conrad, Kent",Kent Conrad
kkazzarelli,Kim Azzarelli
klang,Kimberly Lang
"Lang, Kimberly C.",Kimberly Lang
KPK,KPK
BaldersonKM@state.gov,Kris Balderston
"Balderston, Kris M",Kris Balderston
"Balderstone, Kris M",Kris Balderston
balderstonkm@state.gov,Kris Balderston
"Campbell, Kurt M",Kurt Campbell
CampbellKM@state.gov,Kurt Campbell
"EAP:Campbell, Kurt M",Kurt Campbell
l,l
"EAP/K:Rosenberger, L",L. Rosenberger
"Davis, Lanny",Lanny Davis
"Davis, Lanny J",Lanny Davis
ldavis,Lanny Davis
latimes.com,latimes.com
"Pena, Laura",Laura Pena
penal@state.gov,Laura Pena
Tyson,Laura Tyson
"Tyson, Laura",Laura Tyson
"Jilloty, Lauren C",Lauren Jiloty
JillotyLC@state.gov,Lauren Jiloty
"Jiloty, Cheryl D",Lauren Jiloty
"Jiloty, Laruen C",Lauren Jiloty
"Jiloty, Lauren",Lauren Jiloty
"Jiloty, Lauren C",Lauren Jiloty
"Jiloty, Lauren CD",Lauren Jiloty
Jiloty. Lauren C,Lauren Jiloty
JilotyLC@state.con,Lauren Jiloty
JilotyLC@state.gov,Lauren Jiloty
"Jjiloty, Lauren C",Lauren Jiloty
JjilotyLC@state.gov,Lauren Jiloty
Lauren Jiloty,Lauren Jiloty
LaurenJiloty,Lauren Jiloty
"Rubiner, Laurie",Laurie Rubiner
"Brown, Lee R",Lee Brown
"Feinstein, Lee",Lee Feinstein
LGraham,LGraham
"Dewan, Linda L",Linda Dewan
captuol,Lisa Caputo
caputol,Lisa Caputo
Imuscatine,Lissa Muscatine
"Lissa, Muscatine",Lissa Muscatine
Lmuscatine,Lissa Muscatine
mucatinel@state.gov,Lissa Muscatine
"Muscantine, LIssa",Lissa Muscatine
muscantinel@state.gov,Lissa Muscatine
Muscatine Lissa,Lissa Muscatine
"Muscatine, Lisa",Lissa Muscatine
"Muscatine, Lissa",Lissa Muscatine
"Muscatine,Lissa",Lissa Muscatine
Muscatine. Lissa,Lissa Muscatine
MuscatineL@state.gov,Lissa Muscatine
List,List
esherwood-randall,Liz Sherwood-Randall
"Sherwood-Randall, Liz",Liz Sherwood-Randall
lois.quam,Lois Quam
loisquam,Lois Quam
"Quam, Lois",Lois Quam
"Quam, Lois E",Lois Quam
Ivalmoro,Lona Valmoro
Lona Valmoro,Lona Valmoro
Lvalmoro,Lona Valmoro
lvalmoro@state.gov,Lona Valmoro
ValmmoroLJ@state.gov,Lona Valmoro
ValmoeoLJ@state.gov,Lona Valmoro
"Valmoro, Lona",Lona Valmoro
"ValMoro, Lona J",Lona Valmoro
Valmoro. Lona J,Lona Valmoro
ValmoroLI@state.gov,Lona Valmoro
ValmoroLJ@state.gov,Lona Valmoro
"Walmoro, Lona J",Lona Valmoro
Long Term Strategy Group,Long Term Strategy Group
"Diamond, Louise",Louise Diamond
"Cue, Lourdes C",Lourdes Cue
lrobinson,lrobinson
"Jarvis, Lucy",Lucy Jarvis
"G/TIP:CdeBaca, Luis",Luis CdeBaca
Luzzatto,Luzzatto
lynn,Lynn Forester de Rothschild
"Hybels, Lynne",Lynne Hybels
"McLarty, Mack",Mack McLarty
"Albright, M K",Madeleine Albright
pathfinder,Madeleine Albright
"Albright, Madeleine",Madeleine Albright 
Williamsbarrett,Maggie Williams
"Mottaki, Manouchehr",Manouchehr Mottaki
ManTech,ManTech
grossmanMI@state.gov,Marc Grossman
"S/SRAP:Grossman, Marc",Marc Grossman
"Nathanson, Marc",Marc Nathanson
"Carpenter, Margaret",Margaret Carpenter
"Carpenter, Margaret V W",Margaret Carpenter
"Carpenter, Margaret V.W.",Margaret Carpenter
carpentermv@state.gov,Margaret Carpenter
"Calivis, Maria",Maria Calivis
"Otera, Maria",Maria Otero
"Otero, Maria",Maria Otero
oterom2@state.gov,Maria Otero
"Sand, Maria W",Maria Sand
SandMW@state.gov,Maria Sand
"AF/PDPA:Scott, Marianne",Marianne Scott
"Hyman, Mark",Mark Hyman
mark,Mark Hyman
markjpenn,Mark Penn
"Penn, Mark J",Mark Penn
"Pinsky, Mark",Mark Pinsky
"Indyk, Martin",Martin Indyk
"Edelman, Marty",Marty Edelman
mtorrey,Marty Torrey
"ECA:Pally, Maura",Maura Pally
"Pally, Maura M",Maura Pally
"Baucus, Max",Max Baucus
megrooney,Megan Rooney
"Rooney, Megan",Megan Rooney
pvereer,Melanne Verveer
PVerveer,Melanne Verveer
"Vereer, Melanne S",Melanne Verveer
verveems@state.gov,Melanne Verveer
"Verveer, Melanne",Melanne Verveer
"Verveer, Melanne E",Melanne Verveer
"Verveer, Melanne S",Melanne Verveer
VerveerMS@state.gov,Melanne Verveer
Member of Congress,Member of Congress
mh.interiors,mh.interiors
mhcaleja@state.gov,mhcaleja@state.gov
"Froman, Michael B",Michael Froman
"Froman, Michael B.",Michael Froman
Michael_B._Froman,Michael Froman
"Fuchs, Michael H",Michael Fuchs
"Fuchs, Mike",Michael Fuchs
FuchsMH@state.gov,Michael Fuchs
mfuchs.mike,Michael Fuchs
"Hammer, Michael A",Michael Hammer
"CA:Kirby, Michael D.",Michael Kirby
"McFaul, Michael A",Michael McFaul
MMonroe,Michael Monroe
"Posner, Michael H",Michael Posner
PosnerMH@state.gov,Michael Posner
"Bond, Michele T",Michele Bond
"Flournoy, Michele",Michele Flournoy
michele.flournoy,Michele Flournoy
Miguel,Miguel Rodriguez
"Rodriguez, Miguel",Miguel Rodriguez
"Rodriguez, Miguel E",Miguel Rodriguez
RodriguezME@state.gov,Miguel Rodriguez
Mike,Mike
"Lynch, Mike (Schumer)",Mike Lynch
"Mullen, M G",Mike Mullen
Ministry of Foreign Affairs Pakistan,Ministry of Foreign Affairs Pakistan
mmoore,Minyon Moore
Mission MX,Mission MX
Mission.IR,Mission of the Islamic Republic of Iran
MISSION PK,MISSION PK
"Hanley, Monica",Monica Hanley
"Hanley, Monica R",Monica Hanley
HanleyMR@state.gov,Monica Hanley
mon,Monica Hanley
Monica,Monica Hanley
monica.hanley,Monica Hanley
Monrovia,Monrovia
mspence,mspence
Professor Muhammad Yunus,Muhammad Yunus
Professor Muhammed Yunus,Muhammad Yunus
"Yunus, Muhammad",Muhammad Yunus
nancy,Nancy Parrish
"Pelosi, Nancy",Nancy Pelosi
"Powell, Nancy J",Nancy Powell
Powellnj@state.gov,Nancy Powell
Neera,Neera Tanden
Neera Tanden,Neera Tanden
"Neera, Tanden",Neera Tanden
Neera.Tanden,Neera Tanden
ntanden,Neera Tanden
"Tandem, Neera",Neera Tanden
"Tanden, Neera",Neera Tanden
"Peltz, Nelson",Nelson Peltz
automailer-093,New York State DMV
info 4,New York State DMV
info 5,New York State DMV
no-reply 7,New York State DMV
New York Times,New York Times
NHLA,NHLA
"Norman, Nicholas",Nicholas Norman
"Sarkozy, Nicolas",Nicolas Sarkozy
"Avant, Nicole A.",Nicole Avant
"Abbaszadeh, Nima",Nima Abbaszadeh
AbbaszadehN@state.gov,Nima Abbaszadeh
nora.toiv,Nora Toiv
"Toiv, Nora",Nora Toiv
"Toiv, Nora F",Nora Toiv
toivnf@state.gov,Nora Toiv
"Tov, Nora F",Nora Tov
NYU-Poly Community,NYU-Poly Community
Opinion Research,Opinion Research
"Sanchez, Oscar Arias",Oscar Arias Sanchez
"Flores, Oscar",Oscar Flores
"Lores, Oscar",Oscar Lores
"Nazary, Parnian",Parnian Nazary
"Kennedy, Patrick F",Patrick Kennedy
kennedypf@state.gov,Patrick Kennedy
"M:Kennedy, Patrick F",Patrick Kennedy
Paul,Paul
"Collier, Paul",Paul Collier
"Jones, Paul W",Paul Jones
"NEA/IPA:Knopf, Payton",Payton Knopf
pennrhodeen,Penn Rhodeen
"Robinson, Peter",Peter Robinson
"Crowley, Philip",Philip Crowley
"Crowley, Philip J",Philip Crowley
"Gordon, Philip H",Philip Gordon
Gordon. Philip H,Philip Gordon
GordonPH@state.gov,Philip Gordon
Philippe,Philippe Reines
PIR,Philippe Reines
preines,Philippe Reines
"Reines, Philipe I",Philippe Reines
"Reines, Philippe",Philippe Reines
"Reines, Philippe I",Philippe Reines
"Reines, Phillippe I",Philippe Reines
reines@state.gov,Philippe Reines
reinesp@state.gov,Philippe Reines
"Rines, Philippe I",Philippe Reines
PREINES;H,Philippe Reines; Hillary Clinton
"Crowley, Phillip J",Phillip Crowley
CrowleyPJ@state.gov,Phillip Crowley
"Campbell, Piper",Piper Campbell
postmaster@state.gov,postmaster@state.gov
Prime Minister,Prime Minister
PVervee,PVervee
"Brubaker, R.A.",R.A. Brubaker
"Kleinfeld, Rachel",Rachel Kleinfeld
"Emanuel, Rahm",Rahm Emanuel
mayor_re,Rahm Emanuel
rshah,Rajiv Shah
rshah@usaid.gov,Rajiv Shah
"Shah, Rajiv",Rajiv Shah
"Alexander, Ralph",Ralph Alexander
"Lopes da Silva, Ramiro",Ramiro Lopes da Silva
"Foroohar, Rana",Rana Foroohar
Record,Record
Recos,Recos
"Deanehan,  R",Regina Deanehan
"Deanehan, R",Regina Deanehan
"Philippe, Reines",Reines Philippe
Rendon Group,Rendon Group
"Gonzalez, Rene",Rene Gonzalez
"Preval, Rene",Rene Preval
Republican Members,Republican Members
"Lewis, Reta Jo",Reta Jo Lewis
"Fernandez, Richard R",Richard Fernandez
"Holbrooke, Richard",Richard Holbrooke
HolbrookeRC@state.gov,Richard Holbrooke
